100
3 3
1 2 1
1 3 6
2 3 4
6 5
1 2 6
3 4 0
5 6 7
3 5 1
4 6 2
3 2
1 2 0
2 3 10
4 3
1 2 0
1 3 1
1 4 2
2 1
1 2 0
2 1
1 2 1
50 412
1 34 32
2 29 27
2 41 39
1 26 24
1 48 46
1 46 44
2 45 43
1 6 4
1 42 40
2 5 3
1 20 18
1 2 0
2 19 17
2 9 7
1 16 14
1 14 12
1 36 34
2 23 21
2 13 11
2 35 33
1 28 26
1 10 8
1 32 30
2 27 25
2 49 47
2 39 37
1 24 22
1 44 42
2 31 29
2 43 41
1 4 2
1 50 48
1 40 38
2 3 1
2 47 45
2 17 15
2 7 5
1 22 20
1 12 10
2 21 19
2 11 9
2 33 31
1 18 16
1 8 6
1 38 36
2 25 23
2 15 13
2 37 35
1 30 28
7 46 76418
27 41 11405
26 32 39550
13 14 57293
10 36 44218
33 34 89179
32 48 41360
30 35 40736
4 20 72423
23 42 6972
3 6 15032
9 31 46773
12 37 53627
18 48 26572
2 28 29089
32 47 75093
11 49 75207
37 42 98514
12 41 52759
29 39 18076
44 45 21209
8 31 15941
28 40 94170
23 50 45724
2 18 89489
16 35 82139
32 49 32099
43 47 69501
41 44 12130
43 46 62024
14 47 74905
12 34 2711
1 33 5376
35 48 22582
37 46 88535
13 47 82409
14 34 86158
11 20 17093
30 31 70110
25 46 19614
17 40 9720
17 24 34051
8 44 41890
20 42 70666
4 46 8305
22 46 28941
18 37 16917
14 27 65761
21 37 97557
16 21 40126
16 43 46692
4 41 82677
16 31 28592
19 42 92591
1 37 79442
6 17 35558
30 37 93391
11 36 75443
12 28 13770
3 7 62329
23 29 36137
6 30 64303
14 23 98984
23 34 87003
16 30 31273
17 50 36876
9 20 97106
2 10 10867
15 27 96941
6 19 42693
25 35 27222
8 19 85367
36 46 16552
8 15 4199
13 50 51003
15 50 31205
24 41 59845
7 17 41844
10 49 40996
18 22 41666
11 45 57531
5 43 85150
13 40 47195
34 46 23584
35 50 20705
11 24 76741
26 45 25336
34 37 24339
26 29 4629
