codeforces.com/contest/479/problem/B difficulty=1428
codeforces.com/contest/429/problem/A difficulty=1391
codeforces.com/contest/91/problem/A difficulty=1485
codeforces.com/contest/278/problem/B difficulty=1536
codeforces.com/contest/538/problem/B difficulty=1404
codeforces.com/contest/18/problem/B difficulty=1541
codeforces.com/contest/3/problem/C difficulty=1489
codeforces.com/contest/907/problem/B difficulty=1418
codeforces.com/contest/515/problem/C difficulty=1495
codeforces.com/contest/435/problem/B difficulty=1478
codeforces.com/contest/28/problem/B difficulty=1467
codeforces.com/contest/36/problem/B difficulty=1442
codeforces.com/contest/899/problem/C difficulty=1322
codeforces.com/contest/282/problem/B difficulty=1473
codeforces.com/contest/844/problem/C difficulty=1457
codeforces.com/contest/295/problem/A difficulty=1427
codeforces.com/contest/844/problem/B difficulty=1411
codeforces.com/contest/288/problem/A difficulty=1422
codeforces.com/contest/17/problem/B difficulty=1413
codeforces.com/contest/141/problem/B difficulty=1494
